Id,Start time,Completion time,Email,Name,Age?,Gender?,Native/First Language?,Language of Study?,O/L Result?.Religion ,O/L Result?.Mathematics,O/L Result?.Science,O/L Result?.English,O/L Result?.History,O/L Result?.Language,Did you completed A/L?,A/L Stream?,A/L Result?,Other Qualifications or Certifications?,English Proficiency,IELTS Score?,English Level?,Studying Area?,Career Goal?,Monthly Income (personal or family support for education),Funding Method?,Completion Period?,Study Method?,Availability?,Location?,Study Location,Are you Relocated?,Employment Status?,Monthly Salary in LKR?,Work Experience,Course/Program You Are Currently Enrolled,Course Fees?,Semester Fees?,Campus?,How satisfied are you with this course?,How useful would you find a system that recommends courses based on your profile?,Any additional comments or suggestions?
109,10/27/2025 0:55,10/27/2025 0:58,anonymous,,23,Male,Sinhala,English,A,C,B,A,B,A,Yes,Commerce,"Accountancy - S , Economics - S, Business Studies - S 
",,Self-rated,,Intermediate,Information Technology,"Network Administrator
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Ampara,Colombo,Yes,Unemployed,"83,000",,BSc (Hons) Business Management with Digital marketing,"Rs.2,370,000.00","Rs.296,250.00",SLIIT City Uni,3,5,Better
110,10/27/2025 0:59,10/27/2025 1:00,anonymous,,25,Male,Sinhala,English,A,C,B,C,B,A,Yes,Arts,"English - S, History - S, Political Science - S
",,Self-rated,,Intermediate,Information Technology,"Network Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Ampara,Colombo,Yes,Unemployed,"82,000",,Bachelor of Technology in Industrial Management Technology,"Rs.2,720,000.02","Rs.340,000.02",UoVT,4,2,Good 
111,10/27/2025 1:01,10/27/2025 1:02,anonymous,,21,Male,Sinhala,English,B,C,B,B,C,C,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"Network Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Jaffna ,Colombo,Yes,Unemployed,"80,000",,BSc (Hons) Civil Engineering,"Rs.1,310,000.02",Rs.163750.02,ICBT,3,,Good
112,10/27/2025 1:03,10/27/2025 1:05,anonymous,,26,Female,Sinhala,English,C,C,C,C,C,C,Yes,Bio-systems Technology,"Biology - S, Chemistry - S, Biotechnology - S
",,Self-rated,,Intermediate,Information Technology,"Network Engineer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kandy,Colombo,No,Unemployed,"75,000",,BSc (External) in Applied Data Analytics,"Rs.3,640,000.02","Rs.455,000.02",University of Colombo ,3,3,Good
113,10/27/2025 1:05,10/27/2025 1:13,anonymous,,24,Male,English,English,A,C,A,A,A,A,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S
",,Self-rated,,Intermediate,Information Technology,"Developers
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kandy,Colombo,Yes,Unemployed,"78,000",,BSc (Hons) Civil Engineering,"Rs.1,310,000.02",Rs.163750.02,ICBT,4,2,Better
114,10/27/2025 1:13,10/27/2025 1:16,anonymous,,25,Female,Tamil,English,A,B,C,B,C,C,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"System Administrators
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Batticalo,Colombo,Yes,Unemployed,"100,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,4,2,"Well
"
115,10/27/2025 1:16,10/27/2025 1:17,anonymous,,23,Male,Sinhala,English,A,A,A,A,A,A,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"System Integrators
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Polonnaruwa ,Colombo,Yes,Unemployed,"100,000",,BSc (Hons) in Information Technology for Business,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,4,3,Better
116,10/27/2025 1:17,10/27/2025 9:02,anonymous,,27,Male,Tamil,English,B,C,B,B,B,B,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S
",,Self-rated,,Intermediate,Information Technology,"Designers
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Badulla ,Colombo,Yes,Unemployed,"50,000",,BSc (Hons) in Computing (Software Engineering Pathway),"Rs.2,370,000.00"," Rs.296,250.00",NIBM,4,4,Good 
117,10/27/2025 9:02,10/27/2025 9:04,anonymous,,25,Female,Sinhala,Tamil,A,C,A,B,B,A,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"Architects
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Colombo,Colombo,Yes,Unemployed,"130,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,3,5,Good
118,10/27/2025 9:04,10/27/2025 9:06,anonymous,,28,Male,Sinhala,English,B,C,B,C,B,C,Yes,Commerce,"Accountancy - S , Economics - S, Business Studies - S 
",,Self-rated,,Intermediate,Information Technology,"Analysts
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Puttalam ,Colombo,Yes,Unemployed,"120,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,4,2,Good
119,10/27/2025 9:06,10/27/2025 9:09,anonymous,,29,Female,Tamil,English,A,C,B,C,B,A,Yes,Arts,"English - S, History - S, Political Science - S
",,Self-rated,,Intermediate,Information Technology,"System Administrators
","> LKR 100,003",Self-funded,3-4 years,Onsite,Weekdays,Nigambo,Colombo,Yes,Unemployed,"100,000",,BSc Engineering (Hons) in Civil Engineering,"Rs.3,400,000.00","Rs.3,400,000.00",SLIIT,3,2,Better
120,10/27/2025 9:09,10/27/2025 9:10,anonymous,,25,Female,Sinhala,English,A,C,B,B,B,B,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"System Integrators
","LKR 50,000–100,003",Self-funded,3-4 years,Onsite,Weekdays,Nuwera Eliya ,Colombo,Yes,Unemployed,"60,000",,Supply Chain Management,"Rs.3,640,000.02","Rs.455,000.02",SLTC,4,,Good
121,10/27/2025 9:10,10/27/2025 9:12,anonymous,,28,Female,Tamil,English,B,C,B,C,B,B,Yes,Bio-systems Technology,"Biology - S, Chemistry - S, Biotechnology - S
",,Self-rated,,Intermediate,Information Technology,"System Integrators
","> LKR 100,003",Self-funded,3-4 years,Onsite,Weekdays,Knady,Colombo,Yes,Unemployed,"70,000",,"Higher National Diploma in Engineering- (Building Services)
","Rs.2,720,000.02","Rs.340,000.02",SLIATE,4,3,Better
122,10/28/2025 9:37,10/28/2025 10:03,anonymous,,22,Female,Sinhala,English,C,C,C,C,S,C,Yes,Bio Science,"Physics – F, Chemistry – F, Biology – F
",,Self-rated,,Intermediate,Information Technology,"Web Designer
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Kurunagala ,Colombo,Yes,Unemployed,"90,000",,BSc (Hons) in Information Technology for Business,"Rs.2,370,000.00","Rs.296,250.00",NIBM,5,2,"Well
"
123,10/28/2025 10:04,10/28/2025 10:29,anonymous,,21,Male,Tamil,English,C,C,C,C,C,S,Yes,Physical Science,"Physics – F, Chemistry – F, Combined Maths - F
",,Self-rated,,Intermediate,Information Technology,"Creative Technologist
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Happuttala,Colombo,Yes,Unemployed,"85,000",,BEng (Hons) Electronic & Electrical Engineering,"Rs.2,370,000.00","Rs.296,250.00",SLIIT City Uni,1,2,Better
124,10/28/2025 10:29,10/28/2025 10:33,anonymous,,29,Male,Sinhala,English,C,C,S,C,C,C,Yes,Commerce,"Accountancy - F, Economics - F, Business Studies - F 
",,Self-rated,,Intermediate,Information Technology,"Digital Marketing Designer
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Panadura,Colombo,Yes,Unemployed,"95,000",,BSc (Hons) in Management Information Systems,"Rs.3,400,000.00","Rs.3,400,000.00",KIU,4,3,Good 
125,10/27/2025 0:55,10/27/2025 0:58,anonymous,,23,Male,Sinhala,English,A,C,B,A,B,A,Yes,Commerce,"Accountancy - S , Economics - S, Business Studies - S 
",,Self-rated,,Intermediate,Information Technology,"Network Administrator
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Berwala ,Colombo,No,Unemployed,"83,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,3,4,Good
126,10/27/2025 0:59,10/27/2025 1:00,anonymous,,25,Male,Sinhala,English,A,C,B,C,B,A,Yes,Arts,"English - S, History - S, Political Science - S
",,Self-rated,,Intermediate,Information Technology,"Network Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Nittambuwa,Colombo,Yes,Unemployed,"82,000",,BSc (Hons) in Information Technology for Business,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,3,5,Good
127,10/27/2025 1:01,10/27/2025 1:02,anonymous,,21,Male,Sinhala,English,B,C,B,B,C,C,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"Network Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Dehiwala,Colombo,Yes,Unemployed,"80,000",,BSc (Hons) in Computing (Software Engineering Pathway),"Rs.2,370,000.00"," Rs.296,250.00",NIBM,4,2,Better
128,10/27/2025 1:03,10/27/2025 1:05,anonymous,,26,Female,Sinhala,English,C,C,C,C,C,C,Yes,Bio-systems Technology,"Biology - S, Chemistry - S, Biotechnology - S
",,Self-rated,,Intermediate,Information Technology,"Network Engineer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Nigambo,Colombo,Yes,Unemployed,"75,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,3,,"Well
"
129,10/27/2025 1:05,10/27/2025 1:13,anonymous,,24,Male,English,English,A,C,A,A,A,A,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S
",,Self-rated,,Intermediate,Information Technology,"Developers
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Ratmalana ,Colombo,Yes,Unemployed,"78,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,3,3,Better
130,10/27/2025 1:13,10/27/2025 1:16,anonymous,,25,Female,Tamil,English,A,B,C,B,C,C,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"System Administrators
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Malvana,Colombo,Yes,Unemployed,"100,000",,BSc Engineering (Hons) in Civil Engineering,"Rs.3,400,000.00","Rs.3,400,000.00",SLIIT,4,2,Good 
131,10/27/2025 1:16,10/27/2025 1:17,anonymous,,23,Male,Sinhala,English,A,A,A,A,A,A,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"System Integrators
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Badulla ,Colombo,Yes,Unemployed,"100,000",,Supply Chain Management,"Rs.3,640,000.03","Rs.455,000.03",SLTC,4,2,Good
132,10/27/2025 1:17,10/27/2025 9:02,anonymous,,27,Male,Tamil,English,B,C,B,B,B,B,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S
",,Self-rated,,Intermediate,Information Technology,"Designers
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Vavuniya,Colombo,Yes,Unemployed,"50,000",,"Higher National Diploma in Engineering- (Building Services)
","Rs.2,720,000.03","Rs.340,000.03",SLIATE,4,3,Good
133,10/27/2025 9:02,10/27/2025 9:04,anonymous,,25,Female,Sinhala,Tamil,A,C,A,B,B,A,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"Architects
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Maharagama ,Colombo,Yes,Unemployed,"130,000",,BSc (Hons) in Information Technology for Business,"Rs.2,370,000.00","Rs.296,250.00",NIBM,4,4,Better
134,10/27/2025 9:04,10/27/2025 9:06,anonymous,,28,Male,Sinhala,English,B,C,B,C,B,C,Yes,Commerce,"Accountancy - S , Economics - S, Business Studies - S 
",,Self-rated,,Intermediate,Information Technology,"Analysts
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kaluthara,Colombo,Yes,Unemployed,"120,000",,BEng (Hons) Electronic & Electrical Engineering,"Rs.2,370,000.00","Rs.296,250.00",SLIIT City Uni,3,5,Good
135,10/27/2025 9:06,10/27/2025 9:09,anonymous,,29,Female,Tamil,English,A,C,B,C,B,A,Yes,Arts,"English - S, History - S, Political Science - S
",,Self-rated,,Intermediate,Information Technology,"System Administrators
","> LKR 100,004",Self-funded,3-4 years,Onsite,Weekdays,Gampaha,Colombo,Yes,Unemployed,"100,000",,BSc (Hons) in Management Information Systems,"Rs.3,400,000.00","Rs.3,400,000.00",KIU,4,2,Better
136,10/27/2025 9:09,10/27/2025 9:10,anonymous,,25,Female,Sinhala,English,A,C,B,B,B,B,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"System Integrators
","LKR 50,000–100,004",Self-funded,3-4 years,Onsite,Weekdays,Matara,Colombo,Yes,Unemployed,"60,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,2,4,"Well
"
137,10/27/2025 9:10,10/27/2025 9:12,anonymous,,28,Female,Tamil,English,B,C,B,C,B,B,Yes,Bio-systems Technology,"Biology - S, Chemistry - S, Biotechnology - S
",,Self-rated,,Intermediate,Information Technology,"System Integrators
","> LKR 100,004",Self-funded,3-4 years,Onsite,Weekdays,Galle,Colombo,Yes,Unemployed,"70,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,2,3,Better
138,10/28/2025 9:37,10/28/2025 10:03,anonymous,,22,Female,Sinhala,English,C,C,C,C,S,C,Yes,Bio Science,"Physics – F, Chemistry – F, Biology – F
",,Self-rated,,Intermediate,Information Technology,"Web Designer
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Nigambo,Colombo,No,Unemployed,"90,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,2,2,Good 
139,10/28/2025 10:04,10/28/2025 10:29,anonymous,,21,Male,Tamil,English,C,C,C,C,C,S,Yes,Physical Science,"Physics – F, Chemistry – F, Combined Maths - F
",,Self-rated,,Intermediate,Information Technology,"Creative Technologist
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Matala,Colombo,Yes,Unemployed,"85,000",,BSc (Hons) in Ethical Hacking and Networking Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,2,4,Good
140,10/28/2025 10:29,10/28/2025 10:33,anonymous,,29,Male,Sinhala,English,C,C,S,C,C,C,Yes,Commerce,"Accountancy - F, Economics - F, Business Studies - F 
",,Self-rated,,Intermediate,Information Technology,"Digital Marketing Designer
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Ratnapura,Colombo,Yes,Unemployed,"95,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,4,2,Good
141,10/27/2025 0:55,10/27/2025 0:58,anonymous,,23,Male,Sinhala,English,A,C,B,A,B,A,Yes,Commerce,"Accountancy - S , Economics - S, Business Studies - S 
",,Self-rated,,Intermediate,Information Technology,"Network Administrator
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Colombo,Colombo,Yes,Unemployed,"83,000",,BSc Engineering (Hons) in Mechanical Engineering (Mechatronics Specialisation),"Rs.3,400,000.00","Rs.3,400,000.00",SLIIT,2,4,Better
142,10/27/2025 0:59,10/27/2025 1:00,anonymous,,25,Male,Sinhala,English,A,C,B,C,B,A,Yes,Arts,"English - S, History - S, Political Science - S
",,Self-rated,,Intermediate,Information Technology,"Network Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Ampara,Colombo,Yes,Unemployed,"82,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,4,2,"Well
"
143,10/27/2025 1:01,10/27/2025 1:02,anonymous,,21,Male,Sinhala,English,B,C,B,B,C,C,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"Network Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Ampara,Colombo,Yes,Unemployed,"80,000",,BSc (Hons) in Information Technology for Business,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,2,3,Better
144,10/27/2025 1:03,10/27/2025 1:05,anonymous,,26,Female,Sinhala,English,C,C,C,C,C,C,Yes,Bio-systems Technology,"Biology - S, Chemistry - S, Biotechnology - S
",,Self-rated,,Intermediate,Information Technology,"Network Engineer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Jaffna ,Colombo,Yes,Unemployed,"75,000",,BSc (Hons) in Computing (Software Engineering Pathway),"Rs.2,370,000.00"," Rs.296,250.00",NIBM,5,5,Good 
145,10/27/2025 1:05,10/27/2025 1:13,anonymous,,24,Male,English,English,A,C,A,A,A,A,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S
",,Self-rated,,Intermediate,Information Technology,"Developers
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kandy,Colombo,Yes,Unemployed,"78,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,3,4,Good
146,10/27/2025 1:13,10/27/2025 1:16,anonymous,,25,Female,Tamil,English,A,B,C,B,C,C,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"System Administrators
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Kandy,Colombo,Yes,Unemployed,"100,000",,BSc (Hons) in Computer Networks,"Rs.3,200,000.00","Rs.400,000.00",NSBM,4,3,Good
147,10/27/2025 1:16,10/27/2025 1:17,anonymous,,23,Male,Sinhala,English,A,A,A,A,A,A,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"System Integrators
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Batticalo,Colombo,Yes,Unemployed,"100,000",,BSc Engineering (Hons) in Civil Engineering,"Rs.3,400,000.00","Rs.3,400,000.00",SLIIT,3,2,Better
148,10/27/2025 1:17,10/27/2025 9:02,anonymous,,27,Male,Tamil,English,B,C,B,B,B,B,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S
",,Self-rated,,Intermediate,Information Technology,"Designers
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Polonnaruwa ,Colombo,Yes,Unemployed,"50,000",,Supply Chain Management,"Rs.3,640,000.03","Rs.455,000.03",SLTC,4,,Good
149,10/27/2025 9:02,10/27/2025 9:04,anonymous,,25,Female,Sinhala,Tamil,A,C,A,B,B,A,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"Architects
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Badulla ,Colombo,Yes,Unemployed,"130,000",,"Higher National Diploma in Engineering- (Building Services)
","Rs.2,720,000.03","Rs.340,000.03",SLIATE,4,3,Better
150,10/27/2025 9:04,10/27/2025 9:06,anonymous,,28,Male,Sinhala,English,B,C,B,C,B,C,Yes,Commerce,"Accountancy - S , Economics - S, Business Studies - S 
",,Self-rated,,Intermediate,Information Technology,"Analysts
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Colombo,Colombo,Yes,Unemployed,"120,000",,BSc (Hons) in Information Technology for Business,"Rs.2,370,000.00","Rs.296,250.00",NIBM,5,2,"Well
"
151,10/27/2025 9:06,10/27/2025 9:09,anonymous,,29,Female,Tamil,English,A,C,B,C,B,A,Yes,Arts,"English - S, History - S, Political Science - S
",,Self-rated,,Intermediate,Information Technology,"System Administrators
","> LKR 100,005",Self-funded,3-4 years,Onsite,Weekdays,Puttalam ,Colombo,No,Unemployed,"100,000",,BEng (Hons) Electronic & Electrical Engineering,"Rs.2,370,000.00","Rs.296,250.00",SLIIT City Uni,1,2,Better
152,10/27/2025 9:09,10/27/2025 9:10,anonymous,,25,Female,Sinhala,English,A,C,B,B,B,B,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"System Integrators
","LKR 50,000–100,005",Self-funded,3-4 years,Onsite,Weekdays,Nigambo,Colombo,Yes,Unemployed,"60,000",,BSc (Hons) in Management Information Systems,"Rs.3,400,000.00","Rs.3,400,000.00",KIU,4,3,Good 
153,10/27/2025 9:10,10/27/2025 9:12,anonymous,,28,Female,Tamil,English,B,C,B,C,B,B,Yes,Bio-systems Technology,"Biology - S, Chemistry - S, Biotechnology - S
",,Self-rated,,Intermediate,Information Technology,"System Integrators
","> LKR 100,005",Self-funded,3-4 years,Onsite,Weekdays,Nuwera Eliya ,Colombo,Yes,Unemployed,"70,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,3,4,Good
154,10/28/2025 9:37,10/28/2025 10:03,anonymous,,22,Female,Sinhala,English,C,C,C,C,S,C,Yes,Bio Science,"Physics – F, Chemistry – F, Biology – F
",,Self-rated,,Intermediate,Information Technology,"Web Designer
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Knady,Colombo,Yes,Unemployed,"90,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,3,5,Good
155,10/28/2025 10:04,10/28/2025 10:29,anonymous,,21,Male,Tamil,English,C,C,C,C,C,S,Yes,Physical Science,"Physics – F, Chemistry – F, Combined Maths - F
",,Self-rated,,Intermediate,Information Technology,"Creative Technologist
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Kurunagala ,Colombo,Yes,Unemployed,"85,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,4,2,Better
156,10/28/2025 10:29,10/28/2025 10:33,anonymous,,29,Male,Sinhala,English,C,C,S,C,C,C,Yes,Commerce,"Accountancy - F, Economics - F, Business Studies - F 
",,Self-rated,,Intermediate,Information Technology,"Digital Marketing Designer
","LKR 50,000–100,000",Self-funded,2-3 years,Onsite,Weekends,Happuttala,Colombo,Yes,Unemployed,"95,000",,BSc (Hons) in Ethical Hacking and Networking Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,3,,"Well
"
157,10/27/2025 0:55,10/27/2025 0:58,anonymous,,23,Male,Sinhala,English,A,C,B,A,B,A,Yes,Commerce,"Accountancy - S , Economics - S, Business Studies - S 
",,Self-rated,,Intermediate,Information Technology,"Network Administrator
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Panadura,Colombo,Yes,Unemployed,"83,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,3,3,Better
158,10/27/2025 0:59,10/27/2025 1:00,anonymous,,25,Male,Sinhala,English,A,C,B,C,B,A,Yes,Arts,"English - S, History - S, Political Science - S
",,Self-rated,,Intermediate,Information Technology,"Network Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Berwala ,Colombo,Yes,Unemployed,"82,000",,BSc (Hons) in Information Technology for Business,"Rs.2,370,000.00"," Rs.296,250.00",NIBM,4,2,Good 
159,10/27/2025 1:01,10/27/2025 1:02,anonymous,,21,Male,Sinhala,English,B,C,B,B,C,C,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"Network Architect
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Nittambuwa,Colombo,Yes,Unemployed,"80,000",,BSc (Hons) in Management Information Systems,"Rs.3,400,000.00","Rs.3,400,000.00",KIU,4,2,Good
160,10/27/2025 1:03,10/27/2025 1:05,anonymous,,26,Female,Sinhala,English,C,C,C,C,C,C,Yes,Bio-systems Technology,"Biology - S, Chemistry - S, Biotechnology - S
",,Self-rated,,Intermediate,Information Technology,"Network Engineer
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Dehiwala,Colombo,Yes,Unemployed,"75,000",,BSc (Hons) in Data Science,"Rs.2,370,000.00","Rs.296,250.00",KIU,4,3,Good
161,10/27/2025 1:05,10/27/2025 1:13,anonymous,,24,Male,English,English,A,C,A,A,A,A,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S
",,Self-rated,,Intermediate,Information Technology,"Developers
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Nigambo,Colombo,Yes,Unemployed,"78,000",,BSc (Hons) Business Management with Business Analytics,"Rs.2,370,000.00","Rs.296,250.00",SLIIT City Uni,4,4,Better
162,10/27/2025 1:13,10/27/2025 1:16,anonymous,,25,Female,Tamil,English,A,B,C,B,C,C,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"System Administrators
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Ratmalana ,Colombo,Yes,Unemployed,"100,000",,Bachelor of Technology in Food Process Technology,"Rs.2,720,000.02","Rs.340,000.00",UoVT,3,5,Good
163,10/27/2025 1:16,10/27/2025 1:17,anonymous,,23,Male,Sinhala,English,A,A,A,A,A,A,Yes,Engineering Technology,"Science For Technology - S, ICT - S, Engineering Technology - S
",,Self-rated,,Intermediate,Information Technology,"System Integrators
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Malvana,Colombo,Yes,Unemployed,"100,000",,BEng (Hons) in Mechatronics and Autonomous Systems,"Rs. 2,770,000.02","Rs.340,000.00",ICBT,4,2,Better
164,10/27/2025 1:17,10/27/2025 9:02,anonymous,,27,Male,Tamil,English,B,C,B,B,B,B,Yes,Bio Science,"Physics – S, Chemistry – S, Biology – S
",,Self-rated,,Intermediate,Information Technology,"Designers
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Badulla ,Colombo,No,Unemployed,"50,000",,"BSc (External) in Environment, Development and Sustainability
","Rs.3,400,000.00","Rs.3,400,000.00",University of Colombo ,3,2,"Well
"
165,10/27/2025 9:02,10/27/2025 9:04,anonymous,,25,Female,Sinhala,Tamil,A,C,A,B,B,A,Yes,Physical Science,"Physics – S, Chemistry – S, Combined Maths - S
",,Self-rated,,Intermediate,Information Technology,"Architects
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Vavuniya,Colombo,Yes,Unemployed,"130,000",,BSc (Hons) in Ethical Hacking and Network Security,"Rs.2,370,000.02","Rs.296,250.02",NIBM,4,,Better
166,10/27/2025 9:04,10/27/2025 9:06,anonymous,,28,Male,Sinhala,English,B,C,B,C,B,C,Yes,Commerce,"Accountancy - S , Economics - S, Business Studies - S 
",,Self-rated,,Intermediate,Information Technology,"Analysts
","LKR 50,000–100,000",Self-funded,3-4 years,Onsite,Weekdays,Maharagama ,Colombo,Yes,Unemployed,"120,000",,BSc Engineering (Hons) in Mechanical Engineering,"Rs.3,400,000.00","Rs.3,400,000.00",SLIIT,4,3,Good 
